
2024/01/15 (16:29:36) | ===> btop++ v.1.3.0
2024/01/15 (16:29:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/16 (21:35:13) | ===> btop++ v.1.3.0
2024/01/16 (21:35:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/19 (00:04:51) | ===> btop++ v.1.3.2
2024/02/19 (00:04:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/20 (14:52:55) | ===> btop++ v.1.3.2
2024/02/20 (14:52:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/20 (16:16:54) | ===> btop++ v.1.3.2
2024/02/20 (16:16:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/20 (16:35:26) | ===> btop++ v.1.3.2
2024/02/20 (16:35:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/27 (12:44:27) | ===> btop++ v.1.3.2
2024/02/27 (12:44:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/28 (09:22:48) | ===> btop++ v.1.3.2
2024/02/28 (09:22:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/20 (17:12:44) | ===> btop++ v.1.3.2
2024/03/20 (17:12:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/20 (17:38:46) | ===> btop++ v.1.3.2
2024/03/20 (17:38:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/09 (23:10:34) | ===> btop++ v.1.3.2
2024/04/09 (23:10:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/14 (18:34:16) | ===> btop++ v.1.3.2
2024/04/14 (18:34:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/17 (16:41:19) | ===> btop++ v.1.3.2
2024/04/17 (16:41:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/21 (18:51:31) | ===> btop++ v.1.3.2
2024/04/21 (18:51:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/23 (17:59:04) | ===> btop++ v.1.3.2
2024/04/23 (17:59:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/25 (16:28:08) | ===> btop++ v.1.3.2
2024/04/25 (16:28:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/29 (15:13:26) | ===> btop++ v.1.3.2
2024/04/29 (15:13:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/01 (11:07:12) | ===> btop++ v.1.3.2
2024/05/01 (11:07:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/01 (19:21:42) | ===> btop++ v.1.3.2
2024/05/01 (19:21:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (13:57:07) | ===> btop++ v.1.3.2
2024/05/02 (13:57:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (14:09:16) | ===> btop++ v.1.3.2
2024/05/02 (14:09:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (14:12:26) | ===> btop++ v.1.3.2
2024/05/02 (14:12:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (17:29:21) | ===> btop++ v.1.3.2
2024/05/02 (17:29:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (17:32:19) | ===> btop++ v.1.3.2
2024/05/02 (17:32:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (17:34:26) | ===> btop++ v.1.3.2
2024/05/02 (17:34:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (17:51:30) | ===> btop++ v.1.3.2
2024/05/02 (17:51:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (18:10:01) | ===> btop++ v.1.3.2
2024/05/02 (18:10:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (18:10:09) | ===> btop++ v.1.3.2
2024/05/02 (18:10:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (18:10:19) | ===> btop++ v.1.3.2
2024/05/02 (18:10:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (18:11:09) | ===> btop++ v.1.3.2
2024/05/02 (18:11:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (18:57:01) | ===> btop++ v.1.3.2
2024/05/02 (18:57:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/02 (21:25:12) | ===> btop++ v.1.3.2
2024/05/02 (21:25:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/03 (12:24:02) | ===> btop++ v.1.3.2
2024/05/03 (12:24:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/03 (21:35:03) | ===> btop++ v.1.3.2
2024/05/03 (21:35:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/04 (17:25:25) | ===> btop++ v.1.3.2
2024/05/04 (17:25:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (20:53:37) | ===> btop++ v.1.3.2
2024/05/06 (20:53:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (20:54:26) | ===> btop++ v.1.3.2
2024/05/06 (20:54:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (21:00:44) | ===> btop++ v.1.3.2
2024/05/06 (21:00:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (11:04:36) | ===> btop++ v.1.3.2
2024/05/07 (11:04:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (12:17:09) | ===> btop++ v.1.3.2
2024/05/07 (12:17:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (15:22:57) | ===> btop++ v.1.3.2
2024/05/07 (15:22:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/07 (17:37:43) | ===> btop++ v.1.3.2
2024/05/07 (17:37:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/08 (12:52:27) | ===> btop++ v.1.3.2
2024/05/08 (12:52:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/10 (14:52:33) | ===> btop++ v.1.3.2
2024/05/10 (14:52:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/10 (14:59:03) | ===> btop++ v.1.3.2
2024/05/10 (14:59:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/11 (17:55:17) | ===> btop++ v.1.3.2
2024/05/11 (17:55:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/11 (18:06:21) | ===> btop++ v.1.3.2
2024/05/11 (18:06:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/11 (18:08:35) | ===> btop++ v.1.3.2
2024/05/11 (18:08:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/11 (18:11:50) | ===> btop++ v.1.3.2
2024/05/11 (18:11:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/11 (18:52:39) | ===> btop++ v.1.3.2
2024/05/11 (18:52:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/12 (13:38:24) | ===> btop++ v.1.3.2
2024/05/12 (13:38:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/13 (22:53:55) | ===> btop++ v.1.3.2
2024/05/13 (22:53:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/28 (09:02:43) | ===> btop++ v.1.3.2
2024/05/28 (09:02:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/29 (14:22:56) | ===> btop++ v.1.3.2
2024/05/29 (14:22:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/29 (14:30:21) | ===> btop++ v.1.3.2
2024/05/29 (14:30:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/04 (22:27:27) | ===> btop++ v.1.3.2
2024/06/04 (22:27:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/27 (18:04:47) | ===> btop++ v.1.3.2
2024/06/27 (18:04:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/12 (17:38:26) | ===> btop++ v.1.3.2
2024/07/12 (17:38:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/17 (18:41:03) | ===> btop++ v.1.3.2
2024/07/17 (18:41:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/18 (13:51:21) | ===> btop++ v.1.3.2
2024/07/18 (13:51:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/19 (16:27:50) | ===> btop++ v.1.3.2
2024/07/19 (16:27:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/20 (11:15:02) | ===> btop++ v.1.3.2
2024/07/20 (11:15:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/21 (12:44:55) | ===> btop++ v.1.3.2
2024/07/21 (12:44:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/26 (13:14:55) | ===> btop++ v.1.3.2
2024/07/26 (13:14:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/27 (17:52:15) | ===> btop++ v.1.3.2
2024/07/27 (17:52:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/27 (17:53:17) | ===> btop++ v.1.3.2
2024/07/27 (17:53:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/27 (18:06:38) | ===> btop++ v.1.3.2
2024/07/27 (18:06:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/27 (18:06:46) | ===> btop++ v.1.3.2
2024/07/27 (18:06:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/27 (18:07:27) | ===> btop++ v.1.3.2
2024/07/27 (18:07:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/27 (18:08:25) | ===> btop++ v.1.3.2
